			
Temperature	Resistance	Resistance	Resistance
mK	Ohm	Ohm	Ohm
	Linear interp of "TT-2101"	Linear interp of "TT-2102"	Linear interp of "TT-2103"
8.408257	47084.4098019956	43155.3853687653	38759.3957687592
8.493424	46781.7646142648	43055.6226802399	38818.5699070432
8.526204	46924.99190054	43048.8778243202	38751.195621099
8.80353	46962.765864546	42971.9478324766	38786.9122459049
9.840583	45818.3123796984	41882.9536659699	38379.0172699991
10.37267	45692.6032724899	41604.277505308	38576.8074752429
10.754395	45278.0142021313	41072.7754266266	38095.337042755
10.938603	44995.0718260722	40987.0895300404	37968.9451741637
11.026698	45097.5239148003	41054.369123024	38171.2491258228
11.100069	45164.2045352616	41027.1495473956	38199.6154610626
11.332456	44601.9646525778	40717.4701078614	37863.9218631598
11.640445	44431.0417678804	40368.6608663474	37964.9317333531
11.825978	44139.0061045908	39953.3187555321	37692.4077477115
14.633016	40347.353201208	36891.0143524749	35996.0000288547
16.357108	38553.2449469014	34709.7050052212	35216.7750368773
16.467957	38636.0753157661	34673.8903388361	35047.9050129752
17.014805	37639.4001079345	34071.6303826354	34780.6677256393
18.055027	36378.5878116971	32968.062645467	33979.5201262173
18.412188	35804.6700092353	32258.1009111524	33514.4472859277
19.560835	34600.8995271327	31314.8987036885	32794.8559726451
20.962358	32868.1579048413	29971.6305317906	31668.791173381
22.627746	31471.4779021347	28505.2431996313	30575.3800502
25.699793	28568.928207998	26058.3117944709	28344.7235717695
25.751995	28578.3642345189	26052.5462610618	28519.4482627699
27.036897	27352.4435953059	24997.555649884	27364.5926889083
30.331994	25121.3750599931	23011.7722775976	25324.7130896851
34.98844	22455.0528456887	20746.5242237881	22892.6568532334
39.807516	20499.0606599514	18966.3909534338	20870.4792835759
44.330761	18793.8072303519	17476.9475704559	19215.8104656313
48.569301	17632.8982762981	16457.3378659777	18073.596995218
57.406149	15669.2364042003	14602.9581804017	15923.6631939804
65.969935	14059.1100126552	13249.3649950714	14294.5749978146
76.484476	12746.5600009693	12021.0954508397	12941.0409090859
85.588757	11856.8309562857	11188.3152465433	12006.8514432415
93.743021	11138.7145477156	10555.3854655979	11279.4990541739
103.304946	10508.9014315711	9963.74700423214	10590.7257126244
111.830523	9940.07538226447	9442.09304904609	10019.0799868189
132.816043	8973.80106663887	8573.04311298012	9051.59228544859
151.044763	8329.59873574695	7952.90118599777	8367.67264441226
186.690202	7331.18099205944	7036.44121670297	7352.17845202107
232.40074	6441.20048446544	6216.87850323419	6456.76600336861
281.070051	5809.51345195341	5629.61127585847	5820.99827413028
326.821543	5352.09274404778	5196.09763481117	5358.42968787318
374.433571	4995.65290665131	4849.83714095222	4994.5513358495
472.02808	4451.18056850551	4336.17291065182	4450.24990849647
571.18731	4084.55259130635	3992.26190891767	4084.55413677985
657.874695	3809.84913254623	3736.24294544021	3807.09677452621
744.309745	3610.40000773939	3544.71109635287	3608.33745794632
844.627348	3425.87697457083	3369.49272717547	3427.02336897257
939.753206	3275.69931174277	3229.28310155574	3291.88104602122
939.912733	3265.01285960365	3216.75005221876	3263.72795195399
970.002419	3235.15600151736	3186.78270490154	3234.76357635097
1017.830653	3167.22109191808	3121.5949999744	3163.11054986988
1416.528	2876.24099939102	2840.20818207138	2871.74918127038
4381.765	2057.01411030462	2043.06513297416	2044.16064479447
